time,SMA
2024-09-30 19:30,221.2318
2024-09-30 19:00,221.2757
2024-09-30 18:30,221.3078
2024-09-30 18:00,221.3480
2024-09-30 17:30,221.3872
2024-09-30 17:00,221.4468
2024-09-30 16:30,221.4887
2024-09-30 16:00,221.5342
2024-09-30 15:30,221.5682
2024-09-30 15:00,221.6072
2024-09-30 14:30,221.6703
2024-09-30 14:00,221.7352
2024-09-30 13:30,221.8032
2024-09-30 13:00,221.8624
2024-09-30 12:30,221.9190
2024-09-30 12:00,221.9690
2024-09-30 11:30,222.0203
2024-09-30 11:00,222.0576
2024-09-30 10:30,222.0888
2024-09-30 10:00,222.1218
2024-09-30 09:30,222.1530
2024-09-30 09:00,222.2012
2024-09-30 08:30,222.2391
2024-09-30 08:00,222.2840
2024-09-30 07:30,222.3190
2024-09-30 07:00,222.3374
2024-09-30 06:30,222.3562
2024-09-30 06:00,222.3794
2024-09-30 05:30,222.3989
2024-09-30 05:00,222.4217
2024-09-30 04:30,222.4497
2024-09-30 04:00,222.4942
2024-09-27 19:30,222.5092
2024-09-27 19:00,222.5277
2024-09-27 18:30,222.5480
2024-09-27 18:00,222.5651
2024-09-27 17:30,222.5818
2024-09-27 17:00,222.5968
2024-09-27 16:30,222.6098
2024-09-27 16:00,222.6225
2024-09-27 15:30,222.6360
2024-09-27 15:00,222.6478
2024-09-27 14:30,222.6466
2024-09-27 14:00,222.6376
2024-09-27 13:30,222.6248
2024-09-27 13:00,222.6054
2024-09-27 12:30,222.5931
2024-09-27 12:00,222.5806
2024-09-27 11:30,222.5625
2024-09-27 11:00,222.5421
2024-09-27 10:30,222.5114
2024-09-27 10:00,222.4685
2024-09-27 09:30,222.4221
2024-09-27 09:00,222.4064
2024-09-27 08:30,222.3799
2024-09-27 08:00,222.3457
2024-09-27 07:30,222.3129
2024-09-27 07:00,222.2618
2024-09-27 06:30,222.2218
2024-09-27 06:00,222.1863
2024-09-27 05:30,222.1410
2024-09-27 05:00,222.1050
2024-09-27 04:30,222.0697
2024-09-27 04:00,222.0365
